author_did,has_mentions_in_bio,has_mentions_in_first_post,has_url_in_bio,has_url_in_first_post
did:plc:2biq7kqo5nrapvfnu2wvmxj4,False,False,False,False
did:plc:2bnru3l4lbnxwbpdpywsmtnq,False,False,True,False
did:plc:2bqo6jjgcg7vax345aqkfgmh,,False,,False
did:plc:2bquc5tt633sjqrhuf6elprg,False,False,False,False
did:plc:2bskha6bb4dzooxvci4jvp43,False,False,False,False
did:plc:2bvqeocyseoi4cs3vhzio67g,False,False,False,False
did:plc:2bxrnfaafxaitdkproyf3kxt,False,False,False,False
did:plc:2bz7tvrbbx6z2dv3sm2c75pv,False,False,False,False
did:plc:2c3lj2muraogmhqys7h2swvu,True,False,False,False
did:plc:2c3tlkj4leets4em5uufhusd,False,False,False,False
did:plc:2c5nxcosy62w7op62rzvcgeu,False,False,False,False
did:plc:2cc7wosvur5lrhlqx4d5jp77,False,False,False,False
did:plc:2cd3wnxeii6gaacd3yb2smzo,False,False,False,False
did:plc:2cetl4whopumlurogekzkomm,False,False,False,False
did:plc:2cfsxefpwo4r3a2ghlia66a3,True,False,False,False
did:plc:2cgb3bemzvkxfxy2xfljecbp,False,False,False,False
did:plc:2chgx4qbhhcpbi2axj2lxekn,False,False,False,False
did:plc:2ci6bxnp4hegecoccvkn2n5p,False,False,False,False
did:plc:2ciamv6ibdolrlhkgwt446wx,False,False,False,False
did:plc:2cjdqd3xr2dfxdsjtz76263l,False,True,False,False
did:plc:2cjmrqi4dkuwfnqlhyctsqnb,False,False,False,False
did:plc:2cmmnykjfg6q5agafecznfho,False,False,False,False
did:plc:2cpmoddrvtayhls7mdfrt4yf,False,False,False,False
did:plc:2cqdv2c35xe4oagg7mqqrspt,False,False,False,False
did:plc:2cqi2tubwtgerorx4cafqnq2,False,False,False,False
did:plc:2cuwgkpucjlp2wgsryiwtsnf,False,False,False,False
did:plc:2cx32r57ir6i4jbz3u4foopn,False,False,False,False
did:plc:2cybjc2asa5upmkud3vw3scp,False,False,False,False
did:plc:2cymjjphu64ff5vlr63ymzax,True,False,False,False
did:plc:2d3hmmnyodr2stjf6nwc3fme,False,False,False,False
did:plc:2d464pebz4bgo6qbwasgqofu,False,False,True,False
did:plc:2d5xi6f4yr5dubxj2ankzz63,True,False,False,False
did:plc:2d6yj5pm5bdufbiaigp7mvft,False,False,False,False
did:plc:2d6z3pbvksrb5glnbc7ox24g,True,False,False,False
did:plc:2dbm7qrywg5a45ahoxxxgt3y,False,False,False,False
did:plc:2dbqil6b5dc23k6fbt5hzbvf,False,False,False,False
did:plc:2dee56aaet7vovikmvg7tx7l,False,True,False,False
did:plc:2dfwcbfvefgfn4x6heklp4lw,False,False,False,False
did:plc:2dglqb36vpzq63qr5djxub6f,False,False,False,False
did:plc:2dhz6usj4q3j42queo3boqab,False,False,False,False
did:plc:2dkq5nvvpthhe3fwv3d3zadm,False,False,False,False
did:plc:2dkylysujjn6ztf65jlzb4pa,True,False,False,False
did:plc:2dnsjmvm6serdkemrncn2y4s,False,False,False,False
did:plc:2drd2ddaswwbe467zs3t7opd,False,False,False,False
did:plc:2dtchg7uilzb7pymdmhebk3r,False,False,False,False
did:plc:2duhlaw5ae4tc6apcpsux3vp,False,False,False,False
did:plc:2dvcxog5z5vkps6l2rekxmh3,False,False,False,False
did:plc:2dygdwg524w6essk4afwntcm,False,False,False,False
did:plc:2dzbu6r2g3gqcrcio6yy546k,True,False,False,False
did:plc:2e2a23ufvf6tdh6g673ch66v,False,False,False,False
did:plc:2e2igdiqytlrcdpohsr76a6t,False,False,False,False
did:plc:2e2pkvv6z4scfpb4jplf462d,False,False,False,False
did:plc:2e36fkcog23oze66lhxj6gh2,False,False,False,False
did:plc:2e4uu3pyroyd3ny5mcpanps2,False,False,False,False
did:plc:2e5h43mo6jxggl5lwbndd7re,False,False,False,False
did:plc:2e5xxcj5ds6bslaudz7h5upl,True,False,False,False
did:plc:2e7rlttewce4vno4uudlzv7m,True,False,False,False
did:plc:2eatrhvx7asqudxl5wgkoswg,False,False,False,False
