,Logistic Regression,Logistic Regression (Balanced),Random Forest,Random Forest (Balanced),XGBoost,XGBoost (Balanced),XGBoost (Lasso)
is_Judge,-0.0568877208472758,-0.07495167523967378,9.612517411800862e-07,3.5938546563031597e-06,0.0,0.0,0.0
is_Knitter,-0.054363518992125714,-0.09574729848530103,1.7478362120624286e-05,1.1405635455095279e-05,0.0,0.0,0.0
is_Lawyer,-0.11876359978108568,-0.22555016454283947,0.00020722070152193924,0.00012317079816424097,0.0,0.0,0.0
is_Lecturer,-0.20707582422080398,-0.3836631707098191,0.00020673266393605977,0.00042145874788047444,0.0,0.0,0.0
is_Librarian,-0.10079659605743037,-0.2059205246952465,7.626118612468638e-05,0.0001154944166444931,0.0,0.0,0.0
is_Linguist,0.10211897586597245,0.12081384935846608,0.001491160649535866,0.0011820746133191257,0.0,0.003011891,0.008230557
is_Literary_Agent,-0.06930819929315113,-0.08164960471127568,2.5888644009949845e-06,2.7782604342612326e-06,0.0,0.0,0.0
is_Mathematician,-0.03959666964051438,-0.07275521589256605,1.3248258732556494e-07,4.876985903776122e-06,0.0,0.0,0.0
is_Mechanic,-0.04124845440324047,-0.06848717752560363,1.4081411089825904e-06,1.6896036168693365e-05,0.0,0.0,0.0
is_Meteorologist,-0.07896525182343914,-0.1527765561016027,9.452202756491177e-05,2.36987097162805e-05,0.0,0.0,0.0
is_Microbiologist,-0.0842013313964208,-0.12728198984808428,1.1278649100437558e-06,9.141589954322997e-07,0.0,0.0,0.0
is_Miller,-0.05372358952362693,-0.10548806435062996,0.00011501446134173503,1.4371751705035132e-05,0.0,0.0,0.0
is_Musician,-0.14725004709360162,-0.26128764828873274,1.8607459586377425e-05,9.36695599903353e-05,0.0,0.0,0.0
is_None,0.6993010800074814,0.9973403517942218,0.009191736361361589,0.02147493416862661,0.043182366,0.059926633,0.053356215
is_Nun,-0.04830609185050014,-0.03588182532928415,1.2735623743388427e-06,3.7268175215488375e-06,0.0,0.0,0.0
is_Nurse,-0.02599139271092467,-0.044854863404562524,1.1989275998491698e-05,2.7138871595014803e-05,0.0,0.0,0.0
is_Operations,-0.06314428586263453,-0.11172997367295803,1.8733219181975315e-06,2.425456500207995e-05,0.0,0.0,0.0
is_Other,-0.32336651344916484,-0.5946776872897526,0.0007227360469963315,0.0013259900864616631,0.0,0.023890764,0.02640521
is_Packer,-0.04174838099448521,-0.10231285548387535,2.5341274252718427e-08,1.7365935629253057e-06,0.0,0.0,0.0
is_Painter,-0.07319809122355357,-0.15656843641545948,1.4158777202488364e-06,2.5616974419556104e-05,0.0,0.0,0.0
is_Photographer,-0.18073342366982292,-0.3944382891335971,5.7877135635686996e-05,0.00017251366654711316,0.0,0.0,0.0
is_Physician,-0.050789107427986424,-0.09131598871368347,2.58897220609007e-08,6.178266567266095e-06,0.0,0.0,0.0
is_Physicist,-0.05250438433002655,-0.11129568219215963,9.501558919642786e-05,3.269995925078824e-05,0.0,0.0,0.0
is_Pilot,-0.02796844953203401,-0.08607101411923115,0.0,2.293094837567588e-06,0.0,0.0,0.0
is_Priest,-0.05822640061484028,-0.11531837391437758,9.53228293828769e-06,3.27422025821081e-05,0.0,0.0,0.0
is_Producer,-0.1906645262871067,-0.3839599529196534,0.00010140474734280752,0.0005562180689757287,0.0,0.008414715,0.0
is_Project_Manager,-0.05414615667141242,-0.08436881492588533,2.7836274388810765e-07,4.8233662593500905e-06,0.0,0.0,0.0
is_Psychiatrist,-0.053407653900540655,-0.0989954573481569,6.988679023941284e-07,1.3953569344156496e-05,0.0,0.0,0.0
is_Psychologist,-0.11363404429404192,-0.22830406360891273,2.426699342519355e-05,2.8979790371493654e-05,0.0,0.0,0.0
is_Publisher,-0.09635396131995208,-0.23252234546310424,3.3131592567958195e-05,4.2593897118035794e-05,0.0,0.0,0.0
is_Reporter,-0.15414519659784534,-0.3287781706464798,7.398234841040636e-05,0.00026764398976496793,0.0,0.0,0.0
is_Representative,-0.020447119684840444,-0.13867155895178393,2.7388304347656326e-05,2.7580899462285466e-05,0.0,0.0,0.0
is_Research_Director,-0.053023022749380075,-0.09906947118873898,3.224943103994319e-05,2.4977394421986004e-06,0.0,0.0,0.0
is_Research_Scientist,-0.03391777264084666,-0.024522627342089286,1.6533804205947664e-05,8.756254029600871e-06,0.0,0.0,0.0
is_Researcher,-0.1957043029405793,-0.37926235446200846,0.00018586745527578968,0.0003632756129823722,0.0,0.0,0.0
is_Retired,0.15151065082160298,0.18807868765804167,0.0028292392539150555,0.0018017669770576169,0.011570595,0.04328444,0.049950086
is_Scientist,-0.258853677099689,-0.4222569935167048,0.000239283982897938,0.0005877348416175982,0.0,0.0,0.0
is_Sculptor,-0.037414449970127044,-0.07366817136117823,6.545515781382606e-06,1.6688538099985113e-05,0.0,0.0,0.0
is_Secretary,-0.05441540097358062,-0.13661362644212038,2.0762945161672695e-06,9.396719288668694e-06,0.0,0.0,0.0
is_Shepherd,-0.020856303151684553,-0.04706583712090308,0.0,0.0,0.0,0.0,0.0
is_Software_Engineer,-0.03999350700527167,-0.04619486022426942,1.0223448494761988e-05,2.7049944066577386e-05,0.0,0.0,0.0
is_Soldier,-0.06206012203330451,-0.09929123674788928,3.3130423841144327e-08,7.077989037616104e-06,0.0,0.0,0.0
is_Steward,-0.05380146140230788,-0.09647318248674862,2.368259620447905e-05,6.556784769825074e-06,0.0,0.0,0.0
is_Student,-0.085716274018361,-0.19387048913376542,4.230767946120767e-05,7.449822794779796e-05,0.0,0.0,0.0
is_Teacher,0.09777358490089234,0.08850957785064927,0.001726157987831153,0.0012580039594168673,0.0,0.0050981976,0.0031478794
is_Therapist,-0.05512856132163351,-0.11447099638641538,3.440848653266698e-05,1.732012036605218e-05,0.0,0.0,0.0
is_Translator,-0.048360686114379305,-0.10248423736156995,5.705335893525568e-07,1.1120176645577416e-05,0.0,0.0,0.0
is_Treasurer,-0.025736120956465068,-0.040624931163583754,1.220125124445042e-09,0.0,0.0,0.0,0.0
is_Tutor,-0.0651383766657067,-0.11956906966063653,2.4725390170961044e-06,7.116348418508322e-06,0.0,0.0,0.0
is_Writer,0.2608718319079037,0.36577777100477943,0.0045826836294747915,0.0037898391166588333,0.05496255,0.008654729,0.011271391
post_emoji_count,0.12139934873300978,0.16175319677438815,0.016841826932576763,0.017283384546308348,0.03231653,0.028473707,0.020737747
post_has_emoji,-0.25792999891066287,-0.20112522115187387,0.006274967007647323,0.009442079749175694,0.028270192,0.00820575,0.006271413
post_has_hashtag,-0.3600698206486063,-0.24028244123011486,0.002738782798995073,0.012153185077283976,0.022080136,0.03007448,0.028827697
post_hashtag_count,-0.24051324950257427,-0.30008559214649705,0.004739591685321512,0.014583564899934391,0.029644793,0.04847849,0.080874965
time_to_first_post_days,-0.04302128137703974,-5.4269094795090735,0.32714661419014424,0.3973355274574534,0.06648606,0.07032282,0.067709625
